n.chicks.released.per.year,n.years.of.captive.releases,surv.improvement,time.lag.for.surv.imp,fut.pop.growth.rate,lcl,ucl
6,20,none,10,0.932746658,0.877448186,0.966233306
6,10,2%,5,0.932774431,0.866238841,0.971409843
6,20,none,15,0.933124782,0.874936308,0.966233304
6,20,none,5,0.933165878,0.879571423,0.966120965
7,10,2%,10,0.933455569,0.866296463,0.971422226
2,20,2%,5,0.933924167,0.867265068,0.970713846
9,10,2%,15,0.934113996,0.866556255,0.972497599
8,10,2%,10,0.934125898,0.866484719,0.972552404
7,10,2%,5,0.934137806,0.866543116,0.972843682
10,10,2%,15,0.93450419,0.86707502,0.972906003
9,10,2%,10,0.934693557,0.867123133,0.973674298
3,20,2%,15,0.934737031,0.870788736,0.971282217
8,10,2%,5,0.934862742,0.867017686,0.97374847
7,20,none,15,0.935070665,0.887002968,0.968756895
7,20,none,10,0.935310886,0.886935207,0.968879214
7,20,none,5,0.935335629,0.886899454,0.968879214
3,20,2%,10,0.936790249,0.886456505,0.972559211
11,10,2%,15,0.936830906,0.868322981,0.974257806
1,10,4%,15,0.937116338,0.866886404,0.976800702
9,10,2%,5,0.937202939,0.867701059,0.97473658
10,10,2%,10,0.937287804,0.867677629,0.97477987
0,30,4%,15,0.937297687,0.866659699,0.977310606
0,10,4%,15,0.93731054,0.866612633,0.97687758
0,20,4%,15,0.937414543,0.866682082,0.97714227
2,30,2%,15,0.937452268,0.887063736,0.971471836
4,30,none,15,0.937499986,0.888530754,0.967733635
4,30,none,5,0.937499986,0.888826414,0.967788459
12,10,2%,15,0.937511927,0.869750615,0.974874971
3,20,2%,5,0.937511927,0.886790438,0.973696765
4,30,none,10,0.937513917,0.888739821,0.967672774
11,10,2%,10,0.937587658,0.87463908,0.975571494
10,10,2%,5,0.937611612,0.870776677,0.975826778
2,30,2%,10,0.937725785,0.887203906,0.972586005
2,10,4%,15,0.937858198,0.868255206,0.97798523
13,10,2%,15,0.93787229,0.886549357,0.975918199
8,20,none,15,0.937884374,0.887421883,0.970672001
8,20,none,10,0.937890417,0.887575322,0.970618373
8,20,none,5,0.93797403,0.887600668,0.970892349
12,10,2%,10,0.938304155,0.886582871,0.976312502
11,10,2%,5,0.938411979,0.886605283,0.976891775
4,20,2%,15,0.938859263,0.887099688,0.973976924
2,30,2%,5,0.93937553,0.887564054,0.973678326
14,10,2%,15,0.939807514,0.886732335,0.976889754
3,10,4%,15,0.940295693,0.870844741,0.979412273
13,10,2%,10,0.940330391,0.886745445,0.977873288
0,30,4%,10,0.940347656,0.868108241,0.980041611
12,10,2%,5,0.940359446,0.886627664,0.977908293
1,10,4%,10,0.940359446,0.88602869,0.979916752
0,10,4%,10,0.940397125,0.868370968,0.980271922
0,20,4%,10,0.940488536,0.870188147,0.980566911
1,20,4%,15,0.940500479,0.886754813,0.978875883
4,20,2%,10,0.940514418,0.887529361,0.975016296
15,10,2%,15,0.94063615,0.886854295,0.977870955
9,20,none,15,0.940710219,0.892958696,0.972989649
9,20,none,10,0.940710219,0.889606937,0.972559211
4,20,2%,5,0.940722246,0.88775533,0.976226567
9,20,none,5,0.940748322,0.890789822,0.97255916
14,10,2%,10,0.940760364,0.886912591,0.978662308
4,10,4%,15,0.940897268,0.886760341,0.980637106
13,10,2%,5,0.940951147,0.886889993,0.978735248
2,10,4%,10,0.941183766,0.886698604,0.981075448
15,10,2%,10,0.9415944,0.887052329,0.979172241
5,30,none,5,0.941765973,0.899684235,0.971538026
5,30,none,15,0.941891629,0.899963005,0.971422536
14,10,2%,5,0.941972898,0.887050484,0.979695734
5,30,none,10,0.942198003,0.899672665,0.971486361
5,20,2%,15,0.942445908,0.889735143,0.976490166
5,10,4%,15,0.943301636,0.886993757,0.982006235
1,20,4%,10,0.94330862,0.88713388,0.981475338
1,10,4%,5,0.943314608,0.886888158,0.98261052
1,30,4%,15,0.943314608,0.887815189,0.979914682
15,10,2%,5,0.943360552,0.887181369,0.980535736
3,10,4%,10,0.943376548,0.886923944,0.982418816
0,30,4%,5,0.943399556,0.886888158,0.983405419
3,30,2%,15,0.943400557,0.899434558,0.97581442
0,20,4%,5,0.943401194,0.886807187,0.982901413
0,10,4%,5,0.943412568,0.88687489,0.98349594
10,20,none,10,0.943414571,0.899423084,0.974736325
10,20,none,5,0.943424585,0.899363874,0.974785957
5,20,2%,10,0.943450635,0.891869594,0.977742828
10,20,none,15,0.943462666,0.899375325,0.974785919
3,30,2%,10,0.943736603,0.89971897,0.976634018
5,20,2%,5,0.944012576,0.899147135,0.978785613
2,20,4%,15,0.94401805,0.888334714,0.981666132
6,10,4%,15,0.944119252,0.887145271,0.982804559
2,10,4%,5,0.944148401,0.887074815,0.983581757
4,10,4%,10,0.944559521,0.887147169,0.983537514
3,30,2%,5,0.94503132,0.899755678,0.977891613
11,20,none,10,0.945792503,0.900023654,0.976374553
11,20,none,5,0.945828904,0.899941794,0.976438939
6,20,2%,15,0.945850698,0.899495776,0.97905499
11,20,none,15,0.945917838,0.900023411,0.976527438
7,10,4%,15,0.945995987,0.887635107,0.984216612
1,30,4%,10,0.945995987,0.893324611,0.98305729
1,20,4%,5,0.946032121,0.888346032,0.98411493
3,10,4%,5,0.946044175,0.887646982,0.985059865
5,10,4%,10,0.946046185,0.887623816,0.984810091
6,30,none,10,0.946144804,0.908330027,0.974531983
6,30,none,5,0.946156902,0.908355042,0.974785919
6,20,2%,10,0.946169003,0.899636058,0.979939744
6,30,none,15,0.946169003,0.908376314,0.974773513
8,10,4%,15,0.94698437,0.88953069,0.985036468
12,20,none,15,0.947271352,0.903264117,0.9779558
12,20,none,10,0.947323622,0.901193019,0.978170435
6,20,2%,5,0.947352931,0.900013854,0.980751325
2,20,4%,10,0.947413729,0.899205918,0.984411392
4,10,4%,5,0.947413729,0.888604467,0.985886676
6,10,4%,10,0.947453625,0.889339139,0.985759748
12,20,none,5,0.9476436,0.902017469,0.978418984
