parm,median,lcl,ucl,capt.index,surv.index,n.rel,n.years,surv.inc,lag.time
"fut.lambda[2,17]",0.964961687894075,0.938050929133069,0.984898257299132,2,17,0,20,none,15
"fut.lambda[1,18]",0.965085557711118,0.939893212444418,0.985935247922285,1,18,0,10,none,5
"fut.lambda[2,16]",0.965113890054147,0.937731194038653,0.985019960717317,2,16,0,20,none,10
"fut.lambda[3,16]",0.965276377621489,0.936571466216833,0.984734953396985,3,16,0,30,none,10
"fut.lambda[1,16]",0.965285591618391,0.93799113605747,0.985390060372958,1,16,0,10,none,10
"fut.lambda[1,17]",0.965286908886576,0.93679155918665,0.986626116659394,1,17,0,10,none,15
"fut.lambda[3,17]",0.965290069772336,0.93534171930511,0.983962062298122,3,17,0,30,none,15
"fut.lambda[3,18]",0.965310332314318,0.938038328831114,0.985333978742864,3,18,0,30,none,5
"fut.lambda[2,18]",0.965560670735116,0.934320566830515,0.986104142408471,2,18,0,20,none,5
"fut.lambda[4,16]",0.96582098894464,0.936618701359101,0.986693467248599,4,16,1,10,none,10
"fut.lambda[4,18]",0.966092408553116,0.938093254856042,0.986857018052863,4,18,1,10,none,5
"fut.lambda[4,17]",0.966239809313641,0.936307675572274,0.985448012983048,4,17,1,10,none,15
"fut.lambda[25,17]",0.966375446347145,0.943149795278103,0.986975741061917,25,17,2,10,none,15
"fut.lambda[25,18]",0.966805837468376,0.939465522503101,0.986580194911556,25,18,2,10,none,5
"fut.lambda[28,16]",0.967400065694387,0.941710834246809,0.987393300240052,28,16,3,10,none,10
"fut.lambda[5,18]",0.967418742487957,0.942795732695679,0.986135795205006,5,18,1,20,none,5
"fut.lambda[28,17]",0.967543849394547,0.9408618981873,0.986907469517009,28,17,3,10,none,15
"fut.lambda[5,17]",0.967604272259854,0.942372794818322,0.986556814391339,5,17,1,20,none,15
"fut.lambda[5,16]",0.967708926533394,0.942123018475652,0.985447286870972,5,16,1,20,none,10
"fut.lambda[28,18]",0.967723172190736,0.942257481047402,0.987311035801538,28,18,3,10,none,5
"fut.lambda[25,16]",0.967797537401341,0.943135114587087,0.987785385972987,25,16,2,10,none,10
"fut.lambda[31,16]",0.967898252849969,0.942358924144454,0.987393893467691,31,16,4,10,none,10
"fut.lambda[6,17]",0.968145379518606,0.942339529138867,0.987455037608362,6,17,1,30,none,15
"fut.lambda[6,16]",0.968603495645074,0.945748255760816,0.989169575954142,6,16,1,30,none,10
"fut.lambda[31,17]",0.968643730244193,0.944427548898759,0.988443656660289,31,17,4,10,none,15
"fut.lambda[31,18]",0.968836061836418,0.942967843169556,0.989122424014015,31,18,4,10,none,5
"fut.lambda[6,18]",0.968851380668021,0.939997498285133,0.987135589385311,6,18,1,30,none,5
"fut.lambda[26,17]",0.969419218268846,0.944444760208567,0.988156168868823,26,17,2,20,none,15
"fut.lambda[34,18]",0.969432086676268,0.944968452849852,0.988638198005745,34,18,5,10,none,5
"fut.lambda[34,16]",0.969535335667791,0.94029207668989,0.988783349694888,34,16,5,10,none,10
"fut.lambda[34,17]",0.969638810634414,0.945580938028323,0.989921919700164,34,17,5,10,none,15
"fut.lambda[37,17]",0.96976030275025,0.944577974027884,0.991822083957584,37,17,6,10,none,15
"fut.lambda[26,16]",0.969832654397717,0.944813160845263,0.989231705659815,26,16,2,20,none,10
"fut.lambda[26,18]",0.970038441042929,0.944788732985937,0.990078494701888,26,18,2,20,none,5
"fut.lambda[37,16]",0.970222255387184,0.945324599800575,0.989806451199701,37,16,6,10,none,10
"fut.lambda[37,18]",0.970376001702198,0.946680719516157,0.989149419237062,37,18,6,10,none,5
"fut.lambda[40,18]",0.970932836363327,0.946558958681889,0.989450201972626,40,18,7,10,none,5
"fut.lambda[40,17]",0.971056886975441,0.948342817693668,0.990626326119324,40,17,7,10,none,15
"fut.lambda[43,18]",0.97128579907053,0.94627913370736,0.991010658105073,43,18,8,10,none,5
"fut.lambda[29,17]",0.971567719203958,0.948014459872056,0.991183410824695,29,17,3,20,none,15
"fut.lambda[29,16]",0.971685600691069,0.947157958599669,0.990624170720724,29,16,3,20,none,10
"fut.lambda[40,16]",0.971820030210058,0.947872374693604,0.991495335181433,40,16,7,10,none,10
"fut.lambda[43,16]",0.971907844262921,0.949120155761409,0.992299059883293,43,16,8,10,none,10
"fut.lambda[27,17]",0.972022132419546,0.947570844623245,0.99110538612032,27,17,2,30,none,15
"fut.lambda[27,18]",0.972133206488216,0.948701591237896,0.991773530159752,27,18,2,30,none,5
"fut.lambda[43,17]",0.972136457965305,0.947073328281242,0.991165353529387,43,17,8,10,none,15
"fut.lambda[29,18]",0.972330792896541,0.949488847130941,0.990445325197697,29,18,3,20,none,5
"fut.lambda[46,18]",0.972624930422237,0.950878552360656,0.990228417696377,46,18,9,10,none,5
"fut.lambda[27,16]",0.972649042748677,0.948243644591745,0.990010671570083,27,16,2,30,none,10
"fut.lambda[46,16]",0.972772109953022,0.948300025189015,0.992657640610631,46,16,9,10,none,10
"fut.lambda[32,17]",0.973032657384638,0.95038800847821,0.991868331510087,32,17,4,20,none,15
"fut.lambda[46,17]",0.973185564307552,0.950397340423404,0.992091547306786,46,17,9,10,none,15
"fut.lambda[7,16]",0.973332774445627,0.948498074214343,0.993496710425802,7,16,10,10,none,10
"fut.lambda[7,18]",0.973416545662197,0.948827183457285,0.99259141104813,7,18,10,10,none,5
"fut.lambda[32,18]",0.973729103169608,0.951243178064222,0.991035057663091,32,18,4,20,none,5
"fut.lambda[7,17]",0.973899063489025,0.950201364759998,0.993263501001821,7,17,10,10,none,15
"fut.lambda[32,16]",0.974122165642889,0.948460701756199,0.992516981380543,32,16,4,20,none,10
"fut.lambda[10,18]",0.974129934192722,0.951433710288624,0.992558060936092,10,18,11,10,none,5
"fut.lambda[10,16]",0.974413023651403,0.948861118678679,0.993591755975689,10,16,11,10,none,10
"fut.lambda[13,16]",0.974457617576753,0.951875160159867,0.995214823366669,13,16,12,10,none,10
"fut.lambda[10,17]",0.974479879266228,0.950205057170497,0.993649008198671,10,17,11,10,none,15
"fut.lambda[30,16]",0.974917724334597,0.954055462009105,0.991921265644906,30,16,3,30,none,10
"fut.lambda[30,17]",0.974964596803595,0.952364539330969,0.991772130049964,30,17,3,30,none,15
"fut.lambda[16,16]",0.975213691856725,0.953070089913115,0.994590176568231,16,16,13,10,none,10
"fut.lambda[30,18]",0.975257850828481,0.953578426745261,0.991552097309889,30,18,3,30,none,5
"fut.lambda[13,18]",0.975479951409411,0.951390763643225,0.995107135334714,13,18,12,10,none,5
"fut.lambda[35,18]",0.975505305802661,0.952597184925691,0.993696554177866,35,18,5,20,none,5
"fut.lambda[13,17]",0.975585314306419,0.950799227036908,0.993873925102487,13,17,12,10,none,15
"fut.lambda[16,17]",0.975622928440018,0.951156133963516,0.99359486087594,16,17,13,10,none,15
"fut.lambda[19,17]",0.975630632439374,0.954032306760508,0.994641913541216,19,17,14,10,none,15
"fut.lambda[35,16]",0.97586632185651,0.954399351904522,0.993197599527415,35,16,5,20,none,10
"fut.lambda[35,17]",0.976078288626081,0.954152680637026,0.992729286093996,35,17,5,20,none,15
"fut.lambda[16,18]",0.97611619835811,0.950644450274346,0.994917159023376,16,18,13,10,none,5
"fut.lambda[19,18]",0.976328169049635,0.953769722539629,0.995850616630074,19,18,14,10,none,5
"fut.lambda[19,16]",0.976515841987037,0.952094262898116,0.996128858606308,19,16,14,10,none,10
"fut.lambda[38,18]",0.976638597443686,0.954257547443921,0.996175954013692,38,18,6,20,none,5
"fut.lambda[22,18]",0.976840757623518,0.954819660063791,0.996016271933869,22,18,15,10,none,5
"fut.lambda[22,16]",0.977106436178905,0.951885495751279,0.996422233472463,22,16,15,10,none,10
"fut.lambda[33,18]",0.977189517714969,0.956758872073407,0.994546684736901,33,18,4,30,none,5
"fut.lambda[38,16]",0.977252838889186,0.954598556339968,0.996268643023559,38,16,6,20,none,10
"fut.lambda[22,17]",0.977416737901732,0.953467062409054,0.996270250048731,22,17,15,10,none,15
"fut.lambda[38,17]",0.97763537377385,0.953078438570115,0.994625754065631,38,17,6,20,none,15
"fut.lambda[33,16]",0.977648863531787,0.957238255962341,0.994504104503924,33,16,4,30,none,10
"fut.lambda[33,17]",0.978073583897335,0.957150282486323,0.994869499100205,33,17,4,30,none,15
"fut.lambda[41,16]",0.978952506806003,0.958502744127583,0.996825269521082,41,16,7,20,none,10
"fut.lambda[41,17]",0.979252821269703,0.958006235579971,0.995470814204964,41,17,7,20,none,15
"fut.lambda[41,18]",0.979387249255196,0.955978744598485,0.996865241831199,41,18,7,20,none,5
"fut.lambda[36,17]",0.979668990243389,0.960779916293773,0.996805218114231,36,17,5,30,none,15
"fut.lambda[3,2]",0.979951258420198,0.955132338727953,1.00004782403685,3,2,0,30,+ 2 %,15
"fut.lambda[36,16]",0.979955257184837,0.958221932474656,0.99666449464683,36,16,5,30,none,10
"fut.lambda[44,18]",0.97997639853397,0.959260167425266,0.998352168467773,44,18,8,20,none,5
"fut.lambda[36,18]",0.980045840579745,0.959558819774447,0.998222839603464,36,18,5,30,none,5
"fut.lambda[2,2]",0.980487092169678,0.9550617504517,0.999997266641769,2,2,0,20,+ 2 %,15
"fut.lambda[44,17]",0.98086357123635,0.95939722589792,0.998319606005396,44,17,8,20,none,15
"fut.lambda[1,2]",0.981049814019141,0.955536397780357,1.00073915784629,1,2,0,10,+ 2 %,15
"fut.lambda[44,16]",0.981079476763924,0.959329552350025,0.99747151515672,44,16,8,20,none,10
"fut.lambda[4,2]",0.981246466412936,0.955600880197766,1.00066305712965,4,2,1,10,+ 2 %,15
"fut.lambda[3,1]",0.981656512600422,0.954829574853317,1.00232532048837,3,1,0,30,+ 2 %,10
"fut.lambda[39,17]",0.981991963158341,0.960303659585002,0.999852205574696,39,17,6,30,none,15
