capt.index,surv.index,Year,ext.prob
1,9,2042,5e-04
1,9,2043,4e-04
1,9,2044,5e-04
1,9,2045,7e-04
1,9,2046,9e-04
1,9,2047,0.0018
1,9,2048,0.0021
1,9,2049,0.0027
1,10,2020,0
1,10,2021,0
1,10,2022,0
1,10,2023,0
1,10,2024,0
1,10,2025,0
1,10,2026,0
1,10,2027,0
1,10,2028,0
1,10,2029,0
1,10,2030,0
1,10,2031,0
1,10,2032,0
1,10,2033,0
1,10,2034,0
1,10,2035,0
1,10,2036,0
1,10,2037,0
1,10,2038,0
1,10,2039,1e-04
1,10,2040,2e-04
1,10,2041,2e-04
1,10,2042,2e-04
1,10,2043,3e-04
1,10,2044,3e-04
1,10,2045,3e-04
1,10,2046,3e-04
1,10,2047,3e-04
1,10,2048,4e-04
1,10,2049,3e-04
1,11,2020,0
1,11,2021,0
1,11,2022,0
1,11,2023,0
1,11,2024,0
1,11,2025,0
1,11,2026,0
1,11,2027,0
1,11,2028,0
1,11,2029,0
1,11,2030,0
1,11,2031,0
1,11,2032,0
1,11,2033,0
1,11,2034,0
1,11,2035,0
1,11,2036,0
1,11,2037,0
1,11,2038,1e-04
1,11,2039,3e-04
1,11,2040,4e-04
1,11,2041,3e-04
1,11,2042,4e-04
1,11,2043,6e-04
1,11,2044,7e-04
1,11,2045,0.001
1,11,2046,8e-04
1,11,2047,0.0011
1,11,2048,0.0017
1,11,2049,0.002
1,12,2020,0
1,12,2021,0
1,12,2022,0
1,12,2023,0
1,12,2024,0
1,12,2025,0
1,12,2026,0
1,12,2027,0
1,12,2028,0
1,12,2029,0
1,12,2030,0
1,12,2031,0
1,12,2032,0
1,12,2033,0
1,12,2034,1e-04
1,12,2035,1e-04
1,12,2036,1e-04
1,12,2037,1e-04
1,12,2038,1e-04
1,12,2039,1e-04
1,12,2040,1e-04
1,12,2041,1e-04
1,12,2042,1e-04
1,12,2043,1e-04
1,12,2044,2e-04
1,12,2045,2e-04
1,12,2046,2e-04
1,12,2047,4e-04
1,12,2048,4e-04
1,12,2049,2e-04
1,13,2020,0
1,13,2021,0
1,13,2022,0
1,13,2023,0
1,13,2024,0
1,13,2025,0
1,13,2026,0
1,13,2027,0
1,13,2028,0
1,13,2029,1e-04
1,13,2030,1e-04
1,13,2031,1e-04
1,13,2032,1e-04
1,13,2033,1e-04
1,13,2034,1e-04
1,13,2035,1e-04
1,13,2036,1e-04
1,13,2037,1e-04
1,13,2038,2e-04
1,13,2039,2e-04
1,13,2040,2e-04
1,13,2041,2e-04
1,13,2042,2e-04
1,13,2043,2e-04
1,13,2044,2e-04
1,13,2045,2e-04
1,13,2046,2e-04
1,13,2047,2e-04
1,13,2048,2e-04
1,13,2049,2e-04
1,14,2020,0
1,14,2021,0
1,14,2022,0
1,14,2023,0
1,14,2024,0
1,14,2025,0
1,14,2026,0
1,14,2027,0
1,14,2028,0
1,14,2029,0
1,14,2030,0
1,14,2031,0
1,14,2032,0
1,14,2033,0
1,14,2034,0
1,14,2035,0
1,14,2036,0
1,14,2037,0
1,14,2038,0
1,14,2039,0
1,14,2040,0
1,14,2041,0
1,14,2042,0
1,14,2043,0
1,14,2044,0
1,14,2045,0
1,14,2046,1e-04
1,14,2047,0
1,14,2048,0
1,14,2049,1e-04
1,15,2020,0
1,15,2021,0
1,15,2022,0
1,15,2023,0
1,15,2024,0
1,15,2025,0
1,15,2026,0
1,15,2027,0
1,15,2028,0
1,15,2029,0
1,15,2030,0
1,15,2031,0
1,15,2032,0
1,15,2033,0
1,15,2034,0
1,15,2035,0
1,15,2036,0
1,15,2037,0
1,15,2038,0
1,15,2039,0
1,15,2040,0
1,15,2041,0
1,15,2042,0
1,15,2043,0
1,15,2044,1e-04
1,15,2045,1e-04
1,15,2046,1e-04
1,15,2047,1e-04
1,15,2048,1e-04
1,15,2049,1e-04
1,16,2020,0
1,16,2021,0
1,16,2022,0
1,16,2023,0
1,16,2024,0
1,16,2025,0
1,16,2026,0
1,16,2027,0
1,16,2028,0
1,16,2029,0
1,16,2030,0
1,16,2031,0
1,16,2032,3e-04
1,16,2033,3e-04
1,16,2034,0.0014
1,16,2035,0.003
1,16,2036,0.0048
1,16,2037,0.0078
1,16,2038,0.015
1,16,2039,0.0214
1,16,2040,0.0336
1,16,2041,0.0474
1,16,2042,0.0691
1,16,2043,0.0906
1,16,2044,0.1148
1,16,2045,0.1436
1,16,2046,0.1772
1,16,2047,0.2082
1,16,2048,0.2359
1,16,2049,0.2724
1,17,2020,0
1,17,2021,0
1,17,2022,0
1,17,2023,0
1,17,2024,0
1,17,2025,0
1,17,2026,0
1,17,2027,0
1,17,2028,0
1,17,2029,0
1,17,2030,0
1,17,2031,3e-04
1,17,2032,4e-04
1,17,2033,9e-04
1,17,2034,0.0016
1,17,2035,0.0044
1,17,2036,0.0062
1,17,2037,0.0117
1,17,2038,0.0178
1,17,2039,0.0276
1,17,2040,0.0368
1,17,2041,0.052
1,17,2042,0.0716
1,17,2043,0.093
1,17,2044,0.1173
1,17,2045,0.1448
1,17,2046,0.1698
1,17,2047,0.2017
1,17,2048,0.2354
1,17,2049,0.2688
1,18,2020,0
1,18,2021,0
1,18,2022,0
1,18,2023,0
1,18,2024,0
1,18,2025,0
1,18,2026,0
1,18,2027,0
1,18,2028,0
1,18,2029,0
1,18,2030,1e-04
1,18,2031,1e-04
1,18,2032,3e-04
1,18,2033,4e-04
1,18,2034,0.0013
1,18,2035,0.0027
1,18,2036,0.0057
1,18,2037,0.0102
1,18,2038,0.0166
1,18,2039,0.0242
1,18,2040,0.0351
1,18,2041,0.0505
1,18,2042,0.0689
1,18,2043,0.0894
1,18,2044,0.114
1,18,2045,0.1414
1,18,2046,0.1692
1,18,2047,0.2051
1,18,2048,0.2408
1,18,2049,0.274
2,1,2020,0
2,1,2021,0
2,1,2022,0
2,1,2023,0
2,1,2024,0
2,1,2025,0
2,1,2026,0
2,1,2027,0
2,1,2028,0
2,1,2029,0
2,1,2030,0
2,1,2031,0
2,1,2032,1e-04
2,1,2033,3e-04
2,1,2034,4e-04
2,1,2035,0.001
2,1,2036,0.0019
2,1,2037,0.0025
2,1,2038,0.004
2,1,2039,0.007
2,1,2040,0.0102
2,1,2041,0.0138
2,1,2042,0.0197
2,1,2043,0.0264
2,1,2044,0.0363
2,1,2045,0.0471
2,1,2046,0.0578
2,1,2047,0.0714
2,1,2048,0.0852
2,1,2049,0.104
2,2,2020,0
2,2,2021,0
2,2,2022,0
2,2,2023,0
2,2,2024,0
2,2,2025,0
2,2,2026,0
2,2,2027,0
2,2,2028,0
2,2,2029,0
2,2,2030,0
2,2,2031,1e-04
2,2,2032,4e-04
2,2,2033,8e-04
2,2,2034,0.001
2,2,2035,0.0014
2,2,2036,0.0022
2,2,2037,0.004
2,2,2038,0.0062
2,2,2039,0.0074
2,2,2040,0.011
2,2,2041,0.0163
2,2,2042,0.0246
2,2,2043,0.0329
2,2,2044,0.0406
2,2,2045,0.0523
2,2,2046,0.0631
2,2,2047,0.0789
2,2,2048,0.0967
2,2,2049,0.1152
2,3,2020,0
2,3,2021,0
2,3,2022,0
2,3,2023,0
2,3,2024,0
2,3,2025,0
2,3,2026,0
2,3,2027,1e-04
2,3,2028,1e-04
2,3,2029,1e-04
2,3,2030,2e-04
2,3,2031,1e-04
2,3,2032,1e-04
2,3,2033,2e-04
2,3,2034,4e-04
2,3,2035,5e-04
2,3,2036,0.0012
2,3,2037,0.0015
2,3,2038,0.0022
2,3,2039,0.0035
2,3,2040,0.0063
2,3,2041,0.0086
2,3,2042,0.0132
2,3,2043,0.0197
2,3,2044,0.0269
2,3,2045,0.036
2,3,2046,0.0462
2,3,2047,0.0578
2,3,2048,0.071
2,3,2049,0.0845
2,4,2020,0
2,4,2021,0
2,4,2022,0
2,4,2023,0
2,4,2024,0
2,4,2025,0
2,4,2026,0
2,4,2027,0
2,4,2028,0
2,4,2029,0
2,4,2030,1e-04
2,4,2031,1e-04
2,4,2032,2e-04
2,4,2033,2e-04
